id,mode,genre,duration,key,tempo,time_signature
Rock And Roll All Nite ( KISS ),1,rock,168840,1,144.774,4
Rock and Roll - Remaster ( Led Zeppelin ),1,rock,220561,9,169.613,4
Stairway to Heaven - Remaster ( Led Zeppelin ),0,rock,482830,9,82.433,4
Simple Man ( Lynyrd Skynyrd ),1,rock,357933,1,120.55,4
Free Bird ( Lynyrd Skynyrd ),1,rock,558933,7,117.418,4
Sweet Home Alabama ( Lynyrd Skynyrd ),1,rock,283800,7,97.798,4
Ace of Spades ( Motörhead ),1,rock,166360,4,140.452,4
Crazy Train ( Ozzy Osbourne ),1,rock,296200,9,137.571,4
"Another Brick in the Wall, Pt. 2 ( Pink Floyd )",1,rock,238747,0,104.114,4
Comfortably Numb ( Pink Floyd ),0,rock,382297,11,127.163,4
Wish You Were Here ( Pink Floyd ),1,rock,334744,7,122.861,4
The Show Must Go On ( Queen ),0,rock,271612,11,84.156,4
We Will Rock You - Remastered 2011 ( Queen ),1,rock,122067,2,81.308,4
We Are The Champions - Remastered 2011 ( Queen ),1,rock,179200,10,64.177,4
Bohemian Rhapsody - Remastered 2011 ( Queen ),0,rock,354320,0,71.105,4
Radio Ga Ga - Remastered 2011 ( Queen ),1,rock,348227,5,112.344,4
Gimme Shelter ( The Rolling Stones ),0,other,270773,1,118.628,4
(I Can't Get No) Satisfaction - Mono Version ( The Rolling Stones ),1,other,222813,2,136.302,4
Tom Sawyer ( Rush ),1,rock,276880,9,87.559,4
The Spirit Of Radio ( Rush ),1,rock,296467,4,135.811,4
Still Loving You ( Scorpions ),0,rock,403453,6,103.929,4
Wind Of Change ( Scorpions ),1,rock,312360,0,151.505,4
Send Me An Angel ( Scorpions ),1,rock,273333,1,80.87,3
18 and Life ( Skid Row ),0,rock,229960,1,90.435,4
I Remember You ( Skid Row ),1,rock,313693,0,176.302,4
Born To Be Wild ( Steppenwolf ),1,rock,210373,2,145.928,4
Eye of the Tiger ( Survivor ),0,rock,243773,0,108.965,4
Hold the Line ( TOTO ),0,rock,235547,6,96.556,4
Jump - 2015 Remaster ( Van Halen ),1,rock,241600,0,129.981,4
Panama - 2015 Remaster ( Van Halen ),1,rock,210227,8,141.167,4
Dreams ( Van Halen ),1,rock,294000,0,141.304,4
Is This Love - 2018 Remaster ( Whitesnake ),1,rock,284496,0,179.904,4
Baba O'Riley ( The Who ),1,rock,300400,5,117.292,4
Miles Away ( Winger ),1,rock,252867,5,182.21,4
La Grange - 2005 Remaster ( ZZ Top ),0,rock,230480,4,80.544,4
Boys Don't Cry ( The Cure ),0,other,155973,11,168.766,4
California Dreamin' - Single Version ( The Mamas & The Papas ),0,pop,162373,1,112.367,4
Love Hurts - Live ( Nazareth ),1,rock,231733,0,79.618,4
